date,fav_sum,fav_mean,net_probability_support,polls,running_pos_avg,geom_avg
2011-11-29,1.80312484001,0.360624968002,-0.69687515999,44.4,0.365853754936,0.576582112327
2011-11-30,3.7577116883,0.417523520923,-0.742288311697,44.4,0.353501999581,0.641551624282
2011-12-01,2.30631259863,0.384385433104,-0.693687401374,44.4,0.346811933118,0.625699474099
2011-12-02,2.19803243089,0.439606486178,-0.30196756911,44.7,0.386019874171,0.680436634538
2011-12-03,2.46598666364,0.493197332728,-0.034013336358,44.7,0.419067548187,0.748532139599
2011-12-04,1.9625681255,0.392513625101,-0.537431874496,44.7,0.425445279607,0.668094045668
2011-12-05,1.87318566087,0.468296415218,-0.126814339128,44.7,0.435599858466,0.728701036448
2011-12-06,0.677978289516,0.225992763172,-0.822021710484,44.7,0.403921324479,0.500186783454
2011-12-07,3.46432038851,0.433040048563,-0.535679611493,44.7,0.402608036957,0.65284326873
2011-12-08,1.06998255082,0.356660850272,-0.430017449185,44.4,0.375300740465,0.604937061931
2011-12-09,2.40546268919,0.343637527027,-1.09453731081,44.4,0.36552552085,0.583126144773
2011-12-10,2.61662543563,0.436104239272,-0.38337456437,44.4,0.359087085661,0.668881057638
2011-12-11,1.49476033097,0.373690082742,-0.505239669031,44.4,0.388626549575,0.626281302362
2011-12-12,1.1255323321,0.281383083024,-0.874467667902,45.1,0.358295156467,0.526669296207
2011-12-13,3.43122568919,0.343122568919,-1.56877431081,45.1,0.355587500197,0.562861143403
2011-12-14,0.784380676312,0.261460225437,-0.715619323688,44.8,0.339152039879,0.48523866941
2011-12-15,2.2877738794,0.457554775879,-0.212226120603,44.8,0.3434421472,0.661381818793
2011-12-16,3.63167157051,0.363167157051,-1.36832842949,44.6,0.341337562062,0.606724819166
2011-12-17,1.81880030832,0.454700077079,-0.181199691682,44.6,0.376000960873,0.690994348811
2011-12-18,2.53011159637,0.361444513767,-0.969888403634,44.6,0.379665349843,0.618775398797
2011-12-19,2.25991623092,0.322845175845,-1.24008376908,44.6,0.391942339924,0.566395396748
2011-12-20,1.57190389134,0.314380778268,-0.928096108658,44.8,0.363307540402,0.543372065777
2011-12-21,2.53432225734,0.506864451468,0.034322257338,44.8,0.392046999285,0.727151512481
2011-12-22,3.1626280829,0.527104680484,0.162628082903,44.6,0.406527919966,0.790897285458
2011-12-23,3.27907144716,0.409883930895,-0.720928552844,44.6,0.416215803392,0.697280428584
