date,fav_sum,fav_mean,net_probability_subjective,polls,running_pos_avg,geom_avg
2011-11-17,0.948475871481,0.316158623827,-0.551524128519,44.8,0.187167443405,0.42789010132
2011-11-18,0.773589387386,0.154717877477,-1.72641061261,44.8,0.215805757898,0.30187191192
2011-11-19,0.86248189254,0.28749396418,-0.63751810746,44.8,0.196293525301,0.410162367698
2011-11-20,0.301886584787,0.100628861596,-1.19811341521,44.8,0.211785561482,0.247470822349
2011-11-21,0.197029001213,0.0394058002426,-2.30297099879,44.8,0.179681025465,0.149879539172
2011-11-22,0.260766410825,0.130383205412,-0.739233589175,44.7,0.142525941782,0.210559990847
2011-11-23,0.771661000366,0.128610166728,-2.22833899963,44.4,0.137304399632,0.216751610232
2011-11-24,1.880852253,0.470213063251,-0.119147746996,44.4,0.173848219446,0.559304814721
2011-11-25,0.139368087297,0.0464560290989,-1.3606319127,44.4,0.163013652946,0.220711097884
2011-11-26,0.0135731580294,0.0135731580294,-0.486426841971,44.3,0.157847124504,0.119333828311
2011-11-28,0.593324269384,0.296662134692,-0.406675730616,44.4,0.19110291036,0.367928213524
2011-11-29,1.23449901448,0.246899802896,-1.26550098552,44.4,0.214760837594,0.37196364444
2011-11-30,0.21591770914,0.0239908565711,-4.28408229086,44.4,0.125516396258,0.158107459365
2011-12-01,1.11984349274,0.186640582123,-1.88015650726,44.4,0.153553306862,0.270689271523
2011-12-02,0.224784858682,0.0449569717364,-2.27521514132,44.7,0.159830069604,0.148549118138
2011-12-03,1.05359985214,0.210719970427,-1.44640014786,44.7,0.142641636751,0.285531271024
2011-12-04,0.115544859739,0.0231089719478,-2.38445514026,44.7,0.0978834705611,0.126670980593
2011-12-05,0.662185673824,0.165546418456,-1.33781432618,44.7,0.126194582938,0.23343827882
2011-12-06,0.19824759248,0.0660825308266,-1.30175240752,44.7,0.102082972679,0.154452913249
2011-12-07,0.516136347063,0.0645170433828,-3.48386365294,44.7,0.105994987008,0.135493523105
2011-12-08,0.925220882171,0.308406960724,-0.574779117829,44.4,0.125532385067,0.371525823082
2011-12-09,2.76374521714,0.394820745306,-0.736254782861,44.4,0.199874739739,0.514524476166
2011-12-10,1.20760935282,0.20126822547,-1.79239064718,44.4,0.207019101142,0.366830351408
2011-12-11,0.901636915949,0.225409228987,-1.09836308405,44.4,0.238884440774,0.365413400742
2011-12-12,0.651342574186,0.162835643546,-1.34865742581,45.1,0.258548160807,0.30101302711
2011-12-13,1.08372714986,0.108372714986,-3.91627285014,45.1,0.218541311659,0.230539825751
2011-12-14,0.127461611154,0.0424872037181,-1.37253838885,44.8,0.148074603342,0.144275958382
2011-12-15,0.397368909683,0.0794737819365,-2.10263109032,44.8,0.123715714635,0.155204431222
2011-12-16,1.56376005364,0.156376005364,-3.43623994636,44.6,0.10990906991,0.228544880343
2011-12-17,0.210991260943,0.0527478152358,-1.78900873906,44.6,0.0878915042481,0.140625747724
2011-12-18,1.13252931286,0.161789901837,-2.36747068714,44.6,0.0985749416184,0.229570190051
2011-12-19,0.985264867899,0.140752123986,-2.5147351321,44.6,0.118227925672,0.226988273172
2011-12-20,1.32754957845,0.26550991569,-1.17245042155,44.8,0.155435152423,0.353569429545
2011-12-21,0.651976544997,0.130395308999,-1.848023455,44.8,0.15023901315,0.250816612115
2011-12-22,0.736845861808,0.122807643635,-2.26315413819,44.6,0.164250978829,0.224000624173
2011-12-23,1.19024780653,0.148780975817,-2.80975219347,44.6,0.161649193625,0.241271733565
2011-12-24,0.301460374849,0.301460374849,-0.198539625151,44.6,0.193790843798,0.396395868855
