date,fav_sum,fav_mean,net_probability_subjective,polls,running_pos_avg,geom_avg
2011-06-26,0.634643647763,0.0634643647763,-4.36535635224,48.0,0.13493723157,0.164460832438
2011-06-27,0.671499360112,0.111916560019,-2.32850063989,47.9,0.13027556975,0.187640212056
2011-06-28,1.56468608047,0.195585760059,-2.43531391953,47.9,0.147525443297,0.27253988761
2011-06-29,0.959079285683,0.11988491071,-3.04092071432,47.6,0.131615378437,0.217191069554
2011-06-30,2.18434513773,0.182028761477,-3.81565486227,47.6,0.134576071408,0.269021750398
2011-07-01,0.700705161494,0.0875881451867,-3.29929483851,47.6,0.13940082749,0.186351481753
2011-07-02,0.689457994854,0.172364498714,-1.31054200515,47.6,0.151490415229,0.25256735683
2011-07-03,1.03650418133,0.148072025905,-2.46349581867,47.6,0.141987668398,0.241778154503
2011-07-04,1.20120398732,0.133467109702,-3.29879601268,47.6,0.144704108197,0.226402375321
2011-07-05,2.12214062894,0.212214062894,-2.87785937106,47.6,0.15074116848,0.301558664178
2011-07-06,1.35986774642,0.0906578497615,-6.14013225358,47.6,0.151355109395,0.198227289709
2011-07-07,1.21758545202,0.110689586547,-4.28241454798,47.6,0.139020126962,0.195862357846
2011-07-08,1.14804374593,0.143505468241,-2.85195625407,47.6,0.138106815429,0.224651883792
2011-07-09,1.36926487408,0.342316218519,-0.630735125923,47.6,0.179876637193,0.42915336765
2011-07-10,2.13482567158,0.266853208947,-1.86517432842,47.6,0.190804466403,0.405415476532
2011-07-11,1.10589084777,0.0921575706476,-4.89410915223,47.6,0.191104410581,0.234882221195
2011-07-12,2.22153492324,0.158681065946,-4.77846507676,47.6,0.20070270646,0.262283646307
2011-07-13,1.08362212325,0.154803160465,-2.41637787675,47.6,0.202962244905,0.25917277901
2011-07-14,2.76989807627,0.153883226459,-6.23010192373,47.6,0.165275646493,0.256465518803
2011-07-15,1.21320384814,0.0933233729337,-5.28679615186,47.6,0.13056967929,0.194520061324
