,alpha,avg_score,min_df,ngram,scores,scoring_method,vectorizer
36,0.0,0.0,0.0001,"(1, 2)","[0.0, 0.0, 0.0]",log_likelihood,CountVectorizer
37,0.1,-1861.13378293,0.0001,"(1, 2)","[-1810.57533818, -1678.42584925, -2094.40016136]",log_likelihood,CountVectorizer
38,1.0,-1227.43472534,0.0001,"(1, 2)","[-1168.82646813, -1140.85460284, -1372.62310504]",log_likelihood,CountVectorizer
39,5.0,-1059.01576071,0.0001,"(1, 2)","[-984.074064378, -1013.46266226, -1179.51055548]",log_likelihood,CountVectorizer
40,10.0,-1046.84083593,0.0001,"(1, 2)","[-968.996945231, -1014.98622962, -1156.53933293]",log_likelihood,CountVectorizer
41,50.0,-1125.08560969,0.0001,"(1, 2)","[-1048.13495551, -1115.0235263, -1212.09834727]",log_likelihood,CountVectorizer
42,0.0,-inf,0.001,"(1, 2)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
43,0.1,-1488.41766994,0.001,"(1, 2)","[-1430.48887415, -1496.68261143, -1538.08152424]",log_likelihood,CountVectorizer
44,1.0,-1292.63209886,0.001,"(1, 2)","[-1235.98567381, -1278.50342224, -1363.40720052]",log_likelihood,CountVectorizer
45,5.0,-1149.42566578,0.001,"(1, 2)","[-1080.32354993, -1142.29694043, -1225.65650697]",log_likelihood,CountVectorizer
46,10.0,-1102.1168323,0.001,"(1, 2)","[-1029.55743905, -1099.37622154, -1177.41683631]",log_likelihood,CountVectorizer
47,50.0,-1115.56575827,0.001,"(1, 2)","[-1041.13924241, -1115.61217539, -1189.94585702]",log_likelihood,CountVectorizer
48,0.0,-1483.32958362,0.01,"(1, 2)","[-1404.58205289, -1489.70560506, -1555.70109291]",log_likelihood,CountVectorizer
49,0.1,-1482.2851818,0.01,"(1, 2)","[-1403.5468664, -1488.66635051, -1554.64232847]",log_likelihood,CountVectorizer
50,1.0,-1473.53674069,0.01,"(1, 2)","[-1394.83568113, -1479.98752928, -1545.78701168]",log_likelihood,CountVectorizer
51,5.0,-1443.84445595,0.01,"(1, 2)","[-1365.1448682, -1450.35124652, -1516.03725314]",log_likelihood,CountVectorizer
52,10.0,-1418.5320084,0.01,"(1, 2)","[-1340.04248141, -1424.64282694, -1490.91071684]",log_likelihood,CountVectorizer
53,50.0,-1352.3636981,0.01,"(1, 2)","[-1278.41911355, -1355.21615766, -1423.45582309]",log_likelihood,CountVectorizer
54,0.0,-1950.60845134,0.1,"(1, 2)","[-1920.48874154, -1945.10316308, -1986.23344938]",log_likelihood,CountVectorizer
55,0.1,-1950.57074811,0.1,"(1, 2)","[-1920.45536874, -1945.07300549, -1986.18387011]",log_likelihood,CountVectorizer
56,1.0,-1950.23401493,0.1,"(1, 2)","[-1920.15747818, -1944.80376249, -1985.74080413]",log_likelihood,CountVectorizer
57,5.0,-1948.79253179,0.1,"(1, 2)","[-1918.8858598, -1943.65335345, -1983.8383821]",log_likelihood,CountVectorizer
58,10.0,-1947.11108259,0.1,"(1, 2)","[-1917.41075639, -1942.31652452, -1981.60596686]",log_likelihood,CountVectorizer
59,50.0,-1937.52389249,0.1,"(1, 2)","[-1909.28836514, -1934.89223793, -1968.39107439]",log_likelihood,CountVectorizer
60,0.0,-inf,1e-05,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,TfidfVectorizer
61,0.1,-791.777183537,1e-05,"(1, 1)","[-780.274326207, -779.026566643, -816.03065776]",log_likelihood,TfidfVectorizer
62,1.0,-1070.40738031,1e-05,"(1, 1)","[-1052.83462278, -1074.57535968, -1083.81215848]",log_likelihood,TfidfVectorizer
63,5.0,-1474.71501707,1e-05,"(1, 1)","[-1458.96767238, -1480.71441681, -1484.46296203]",log_likelihood,TfidfVectorizer
64,10.0,-1665.17517566,1e-05,"(1, 1)","[-1652.3672345, -1669.6088611, -1673.54943138]",log_likelihood,TfidfVectorizer
65,50.0,-2035.62183759,1e-05,"(1, 1)","[-2030.39515285, -2036.59649286, -2039.87386705]",log_likelihood,TfidfVectorizer
66,0.0,-inf,0.0001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,TfidfVectorizer
67,0.1,-791.777183537,0.0001,"(1, 1)","[-780.274326207, -779.026566643, -816.03065776]",log_likelihood,TfidfVectorizer
68,1.0,-1070.40738031,0.0001,"(1, 1)","[-1052.83462278, -1074.57535968, -1083.81215848]",log_likelihood,TfidfVectorizer
69,5.0,-1474.71501707,0.0001,"(1, 1)","[-1458.96767238, -1480.71441681, -1484.46296203]",log_likelihood,TfidfVectorizer
70,10.0,-1665.17517566,0.0001,"(1, 1)","[-1652.3672345, -1669.6088611, -1673.54943138]",log_likelihood,TfidfVectorizer
71,50.0,-2035.62183759,0.0001,"(1, 1)","[-2030.39515285, -2036.59649286, -2039.87386705]",log_likelihood,TfidfVectorizer
72,0.0,-inf,0.001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,TfidfVectorizer
73,0.1,-887.947991494,0.001,"(1, 1)","[-862.040018231, -897.47685361, -904.327102641]",log_likelihood,TfidfVectorizer
74,1.0,-1009.42176206,0.001,"(1, 1)","[-986.942330288, -1019.56204247, -1021.76091341]",log_likelihood,TfidfVectorizer
75,5.0,-1302.80800536,0.001,"(1, 1)","[-1282.81344312, -1311.96854597, -1313.64202697]",log_likelihood,TfidfVectorizer
76,10.0,-1484.82320884,0.001,"(1, 1)","[-1467.62967934, -1491.80544675, -1495.03450045]",log_likelihood,TfidfVectorizer
77,50.0,-1913.16697367,0.001,"(1, 1)","[-1904.94193168, -1915.02819647, -1919.53079284]",log_likelihood,TfidfVectorizer
78,0.0,-1378.79016262,0.01,"(1, 1)","[-1347.71845794, -1393.38655668, -1395.26547326]",log_likelihood,TfidfVectorizer
79,0.1,-1380.08827262,0.01,"(1, 1)","[-1349.12437269, -1394.64337301, -1396.49707217]",log_likelihood,TfidfVectorizer
80,1.0,-1391.81200734,0.01,"(1, 1)","[-1361.69707707, -1405.87182607, -1407.86711888]",log_likelihood,TfidfVectorizer
81,5.0,-1441.3270639,0.01,"(1, 1)","[-1414.07600128, -1452.94717119, -1456.95801923]",log_likelihood,TfidfVectorizer
82,10.0,-1495.32030464,0.01,"(1, 1)","[-1470.76795937, -1504.65323842, -1510.53971612]",log_likelihood,TfidfVectorizer
83,50.0,-1748.4431929,0.01,"(1, 1)","[-1734.17293813, -1751.37663231, -1759.78000825]",log_likelihood,TfidfVectorizer
84,0.0,-1991.26141011,0.1,"(1, 1)","[-1980.94261753, -1989.44737333, -2003.39423948]",log_likelihood,TfidfVectorizer
85,0.1,-1991.34413079,0.1,"(1, 1)","[-1981.03085083, -1989.53455684, -2003.46698472]",log_likelihood,TfidfVectorizer
86,1.0,-1992.08763805,0.1,"(1, 1)","[-1981.82358612, -1990.31761372, -2004.12171429]",log_likelihood,TfidfVectorizer
87,5.0,-1995.36926087,0.1,"(1, 1)","[-1985.31609073, -1993.76253144, -2007.02916045]",log_likelihood,TfidfVectorizer
88,10.0,-1999.41315918,0.1,"(1, 1)","[-1989.60733956, -1997.9855486, -2010.64658939]",log_likelihood,TfidfVectorizer
89,50.0,-2029.01452456,0.1,"(1, 1)","[-2020.754683, -2028.43224331, -2037.85664738]",log_likelihood,TfidfVectorizer
90,0.0,0.0,1e-05,"(1, 2)","[0.0, 0.0, 0.0]",log_likelihood,TfidfVectorizer
91,0.1,-766.910037179,1e-05,"(1, 2)","[-747.998791691, -760.27483316, -792.456486687]",log_likelihood,TfidfVectorizer
92,1.0,-1260.42709854,1e-05,"(1, 2)","[-1240.84787567, -1264.98108125, -1275.45233871]",log_likelihood,TfidfVectorizer
93,5.0,-1741.06083242,1e-05,"(1, 2)","[-1729.38275106, -1744.07016571, -1749.7295805]",log_likelihood,TfidfVectorizer
94,10.0,-1914.97637121,1e-05,"(1, 2)","[-1906.94381819, -1916.69630134, -1921.2889941]",log_likelihood,TfidfVectorizer
95,50.0,-2177.30687229,1e-05,"(1, 2)","[-2175.01837899, -2177.44552782, -2179.45671004]",log_likelihood,TfidfVectorizer
96,0.0,0.0,0.0001,"(1, 2)","[0.0, 0.0, 0.0]",log_likelihood,TfidfVectorizer
97,0.1,-766.910037179,0.0001,"(1, 2)","[-747.998791691, -760.27483316, -792.456486687]",log_likelihood,TfidfVectorizer
98,1.0,-1260.42709854,0.0001,"(1, 2)","[-1240.84787567, -1264.98108125, -1275.45233871]",log_likelihood,TfidfVectorizer
99,5.0,-1741.06083242,0.0001,"(1, 2)","[-1729.38275106, -1744.07016571, -1749.7295805]",log_likelihood,TfidfVectorizer
100,10.0,-1914.97637121,0.0001,"(1, 2)","[-1906.94381819, -1916.69630134, -1921.2889941]",log_likelihood,TfidfVectorizer
101,50.0,-2177.30687229,0.0001,"(1, 2)","[-2175.01837899, -2177.44552782, -2179.45671004]",log_likelihood,TfidfVectorizer
102,0.0,-inf,0.001,"(1, 2)","[-inf, -inf, -inf]",log_likelihood,TfidfVectorizer
103,0.1,-811.954014885,0.001,"(1, 2)","[-792.783485009, -823.221132646, -819.857426999]",log_likelihood,TfidfVectorizer
104,1.0,-944.234071493,0.001,"(1, 2)","[-922.924401962, -954.962681316, -954.815131202]",log_likelihood,TfidfVectorizer
105,5.0,-1284.62459417,0.001,"(1, 2)","[-1265.46985077, -1292.69458615, -1295.70934559]",log_likelihood,TfidfVectorizer
106,10.0,-1494.52208042,0.001,"(1, 2)","[-1478.63772579, -1500.07592656, -1504.85258892]",log_likelihood,TfidfVectorizer
107,50.0,-1954.20411897,0.001,"(1, 2)","[-1947.44928245, -1955.37707304, -1959.78600142]",log_likelihood,TfidfVectorizer
108,0.0,-1358.60858719,0.01,"(1, 2)","[-1334.39436423, -1366.05118853, -1375.3802088]",log_likelihood,TfidfVectorizer
109,0.1,-1360.01948219,0.01,"(1, 2)","[-1335.81275751, -1367.47950846, -1376.7661806]",log_likelihood,TfidfVectorizer
110,1.0,-1372.79034908,0.01,"(1, 2)","[-1348.73435055, -1380.21988514, -1389.41681155]",log_likelihood,TfidfVectorizer
111,5.0,-1426.64145216,0.01,"(1, 2)","[-1403.88769837, -1432.93384367, -1443.10281444]",log_likelihood,TfidfVectorizer
112,10.0,-1485.10883716,0.01,"(1, 2)","[-1464.10156272, -1490.07205218, -1501.15289659]",log_likelihood,TfidfVectorizer
113,50.0,-1754.23824722,0.01,"(1, 2)","[-1741.47664917, -1755.38251947, -1765.85557301]",log_likelihood,TfidfVectorizer
114,0.0,-1992.88269172,0.1,"(1, 2)","[-1982.27009504, -1990.77320226, -2005.60477786]",log_likelihood,TfidfVectorizer
115,0.1,-1992.96585126,0.1,"(1, 2)","[-1982.35917919, -1990.86100387, -2005.6773707]",log_likelihood,TfidfVectorizer
116,1.0,-1993.71326952,0.1,"(1, 2)","[-1983.15948456, -1991.64957928, -2006.33074471]",log_likelihood,TfidfVectorizer
117,5.0,-1997.01144754,0.1,"(1, 2)","[-1986.68381555, -1995.11807259, -2009.23245446]",log_likelihood,TfidfVectorizer
118,10.0,-2001.07421786,0.1,"(1, 2)","[-1991.01104089, -1999.36845149, -2012.84316119]",log_likelihood,TfidfVectorizer
119,50.0,-2030.76946227,0.1,"(1, 2)","[-2022.34179125, -2029.96599018, -2040.00060537]",log_likelihood,TfidfVectorizer
120,0.0,0.609100142168,1e-05,"(1, 1)","[0.607678464307, 0.607260726073, 0.612361236124]",testing_score,CountVectorizer
121,0.1,0.914199788305,1e-05,"(1, 1)","[0.916316736653, 0.919591959196, 0.906690669067]",testing_score,CountVectorizer
122,1.0,0.916699978336,1e-05,"(1, 1)","[0.916916616677, 0.918391839184, 0.914791479148]",testing_score,CountVectorizer
123,5.0,0.908999538226,1e-05,"(1, 1)","[0.913617276545, 0.905490549055, 0.907890789079]",testing_score,CountVectorizer
124,10.0,0.898899338044,1e-05,"(1, 1)","[0.905518896221, 0.894089408941, 0.897089708971]",testing_score,CountVectorizer
125,50.0,0.867699187435,1e-05,"(1, 1)","[0.875824835033, 0.863486348635, 0.863786378638]",testing_score,CountVectorizer
126,0.0,0.609100142168,0.0001,"(1, 1)","[0.607678464307, 0.607260726073, 0.612361236124]",testing_score,CountVectorizer
127,0.1,0.914199788305,0.0001,"(1, 1)","[0.916316736653, 0.919591959196, 0.906690669067]",testing_score,CountVectorizer
128,1.0,0.916699978336,0.0001,"(1, 1)","[0.916916616677, 0.918391839184, 0.914791479148]",testing_score,CountVectorizer
129,5.0,0.908999538226,0.0001,"(1, 1)","[0.913617276545, 0.905490549055, 0.907890789079]",testing_score,CountVectorizer
130,10.0,0.898899338044,0.0001,"(1, 1)","[0.905518896221, 0.894089408941, 0.897089708971]",testing_score,CountVectorizer
131,50.0,0.867699187435,0.0001,"(1, 1)","[0.875824835033, 0.863486348635, 0.863786378638]",testing_score,CountVectorizer
132,0.0,0.880399497658,0.001,"(1, 1)","[0.885422915417, 0.876087608761, 0.879687968797]",testing_score,CountVectorizer
133,0.1,0.900099698032,0.001,"(1, 1)","[0.903119376125, 0.899789978998, 0.897389738974]",testing_score,CountVectorizer
134,1.0,0.902199758068,0.001,"(1, 1)","[0.904619076185, 0.90099009901, 0.90099009901]",testing_score,CountVectorizer
135,5.0,0.899099658016,0.001,"(1, 1)","[0.902519496101, 0.896489648965, 0.898289828983]",testing_score,CountVectorizer
136,10.0,0.894499317958,0.001,"(1, 1)","[0.901319736053, 0.889588958896, 0.892589258926]",testing_score,CountVectorizer
137,50.0,0.868799147461,0.001,"(1, 1)","[0.877324535093, 0.864386438644, 0.864686468647]",testing_score,CountVectorizer
138,0.0,0.834298996786,0.01,"(1, 1)","[0.844331133773, 0.833483348335, 0.825082508251]",testing_score,CountVectorizer
139,0.1,0.834298996786,0.01,"(1, 1)","[0.844331133773, 0.833483348335, 0.825082508251]",testing_score,CountVectorizer
140,1.0,0.834099006781,0.01,"(1, 1)","[0.844031193761, 0.83198319832, 0.826282628263]",testing_score,CountVectorizer
141,5.0,0.833698786795,0.01,"(1, 1)","[0.845830833833, 0.830483048305, 0.824782478248]",testing_score,CountVectorizer
142,10.0,0.833198646799,0.01,"(1, 1)","[0.846730653869, 0.830783078308, 0.822082208221]",testing_score,CountVectorizer
143,50.0,0.827798616694,0.01,"(1, 1)","[0.841631673665, 0.82598259826, 0.815781578158]",testing_score,CountVectorizer
144,0.0,0.686999563784,0.1,"(1, 1)","[0.691361727654, 0.690669066907, 0.67896789679]",testing_score,CountVectorizer
145,0.1,0.687099543788,0.1,"(1, 1)","[0.691661667666, 0.690669066907, 0.67896789679]",testing_score,CountVectorizer
146,1.0,0.687099543788,0.1,"(1, 1)","[0.691661667666, 0.690669066907, 0.67896789679]",testing_score,CountVectorizer
147,5.0,0.686799603776,0.1,"(1, 1)","[0.69076184763, 0.691269126913, 0.678367836784]",testing_score,CountVectorizer
148,10.0,0.686699653769,0.1,"(1, 1)","[0.690161967606, 0.691569156916, 0.678367836784]",testing_score,CountVectorizer
149,50.0,0.686099833739,0.1,"(1, 1)","[0.68776244751, 0.691869186919, 0.678667866787]",testing_score,CountVectorizer
150,0.0,0.500300000006,1e-05,"(1, 2)","[0.500299940012, 0.500450045005, 0.500150015002]",testing_score,CountVectorizer
151,0.1,0.924500038486,1e-05,"(1, 2)","[0.924115176965, 0.928292829283, 0.921092109211]",testing_score,CountVectorizer
152,1.0,0.921400058422,1e-05,"(1, 2)","[0.920815836833, 0.924692469247, 0.918691869187]",testing_score,CountVectorizer
153,5.0,0.908999868193,1e-05,"(1, 2)","[0.910317936413, 0.908790879088, 0.907890789079]",testing_score,CountVectorizer
154,10.0,0.896999927947,1e-05,"(1, 2)","[0.897720455909, 0.89798979898, 0.895289528953]",testing_score,CountVectorizer
155,50.0,0.867799197436,1e-05,"(1, 2)","[0.875824835033, 0.865286528653, 0.862286228623]",testing_score,CountVectorizer
156,0.0,0.500300000006,0.0001,"(1, 2)","[0.500299940012, 0.500450045005, 0.500150015002]",testing_score,CountVectorizer
157,0.1,0.924500038486,0.0001,"(1, 2)","[0.924115176965, 0.928292829283, 0.921092109211]",testing_score,CountVectorizer
158,1.0,0.921400058422,0.0001,"(1, 2)","[0.920815836833, 0.924692469247, 0.918691869187]",testing_score,CountVectorizer
159,5.0,0.908999868193,0.0001,"(1, 2)","[0.910317936413, 0.908790879088, 0.907890789079]",testing_score,CountVectorizer
160,10.0,0.896999927947,0.0001,"(1, 2)","[0.897720455909, 0.89798979898, 0.895289528953]",testing_score,CountVectorizer
161,50.0,0.867799197436,0.0001,"(1, 2)","[0.875824835033, 0.865286528653, 0.862286228623]",testing_score,CountVectorizer
162,0.0,0.870499587451,0.001,"(1, 2)","[0.874625074985, 0.863786378638, 0.873087308731]",testing_score,CountVectorizer
163,0.1,0.899399748013,0.001,"(1, 2)","[0.901919616077, 0.898589858986, 0.897689768977]",testing_score,CountVectorizer
164,1.0,0.898599847987,0.001,"(1, 2)","[0.900119976005, 0.897689768977, 0.89798979898]",testing_score,CountVectorizer
165,5.0,0.894099727909,0.001,"(1, 2)","[0.896820635873, 0.891689168917, 0.893789378938]",testing_score,CountVectorizer
166,10.0,0.889199657818,0.001,"(1, 2)","[0.892621475705, 0.887488748875, 0.887488748875]",testing_score,CountVectorizer
167,50.0,0.869999267473,0.001,"(1, 2)","[0.877324535093, 0.866486648665, 0.866186618662]",testing_score,CountVectorizer
168,0.0,0.834098856796,0.01,"(1, 2)","[0.845530893821, 0.829282928293, 0.827482748275]",testing_score,CountVectorizer
169,0.1,0.834198866797,0.01,"(1, 2)","[0.845530893821, 0.829582958296, 0.827482748275]",testing_score,CountVectorizer
170,1.0,0.83379885679,0.01,"(1, 2)","[0.845230953809, 0.828682868287, 0.827482748275]",testing_score,CountVectorizer
171,5.0,0.833298686797,0.01,"(1, 2)","[0.846430713857, 0.828382838284, 0.825082508251]",testing_score,CountVectorizer
172,10.0,0.833098756786,0.01,"(1, 2)","[0.845530893821, 0.829582958296, 0.824182418242]",testing_score,CountVectorizer
173,50.0,0.827398636684,0.01,"(1, 2)","[0.841031793641, 0.825682568257, 0.815481548155]",testing_score,CountVectorizer
174,0.0,0.685299903716,0.1,"(1, 2)","[0.686262747451, 0.691569156916, 0.678067806781]",testing_score,CountVectorizer
175,0.1,0.685299903716,0.1,"(1, 2)","[0.686262747451, 0.691569156916, 0.678067806781]",testing_score,CountVectorizer
176,1.0,0.685299903716,0.1,"(1, 2)","[0.686262747451, 0.691869186919, 0.677767776778]",testing_score,CountVectorizer
177,5.0,0.685399943714,0.1,"(1, 2)","[0.685962807439, 0.692169216922, 0.678067806781]",testing_score,CountVectorizer
178,10.0,0.68560002371,0.1,"(1, 2)","[0.685362927415, 0.693369336934, 0.678067806781]",testing_score,CountVectorizer
179,50.0,0.685799923724,0.1,"(1, 2)","[0.686562687463, 0.693669366937, 0.677167716772]",testing_score,CountVectorizer
180,0.0,0.610299992207,1e-05,"(1, 1)","[0.610377924415, 0.608460846085, 0.612061206121]",testing_score,TfidfVectorizer
181,0.1,0.9142998583,1e-05,"(1, 1)","[0.915716856629, 0.920492049205, 0.906690669067]",testing_score,TfidfVectorizer
182,1.0,0.917499938356,1e-05,"(1, 1)","[0.918116376725, 0.919291929193, 0.915091509151]",testing_score,TfidfVectorizer
183,5.0,0.908899618216,1e-05,"(1, 1)","[0.912717456509, 0.906690669067, 0.907290729073]",testing_score,TfidfVectorizer
184,10.0,0.899799608035,1e-05,"(1, 1)","[0.903719256149, 0.895889588959, 0.899789978998]",testing_score,TfidfVectorizer
185,50.0,0.88079905771,1e-05,"(1, 1)","[0.890221955609, 0.874887488749, 0.877287728773]",testing_score,TfidfVectorizer
186,0.0,0.610299992207,0.0001,"(1, 1)","[0.610377924415, 0.608460846085, 0.612061206121]",testing_score,TfidfVectorizer
187,0.1,0.9142998583,0.0001,"(1, 1)","[0.915716856629, 0.920492049205, 0.906690669067]",testing_score,TfidfVectorizer
188,1.0,0.917499938356,0.0001,"(1, 1)","[0.918116376725, 0.919291929193, 0.915091509151]",testing_score,TfidfVectorizer
189,5.0,0.908899618216,0.0001,"(1, 1)","[0.912717456509, 0.906690669067, 0.907290729073]",testing_score,TfidfVectorizer
190,10.0,0.899799608035,0.0001,"(1, 1)","[0.903719256149, 0.895889588959, 0.899789978998]",testing_score,TfidfVectorizer
191,50.0,0.88079905771,0.0001,"(1, 1)","[0.890221955609, 0.874887488749, 0.877287728773]",testing_score,TfidfVectorizer
192,0.0,0.880499357674,0.001,"(1, 1)","[0.886922615477, 0.874887488749, 0.879687968797]",testing_score,TfidfVectorizer
193,0.1,0.89869943803,0.001,"(1, 1)","[0.904319136173, 0.896489648965, 0.895289528953]",testing_score,TfidfVectorizer
194,1.0,0.90469973812,0.001,"(1, 1)","[0.907318536293, 0.904890489049, 0.901890189019]",testing_score,TfidfVectorizer
195,5.0,0.90009951805,0.001,"(1, 1)","[0.904919016197, 0.89798979898, 0.897389738974]",testing_score,TfidfVectorizer
196,10.0,0.894999427957,0.001,"(1, 1)","[0.900719856029, 0.891089108911, 0.893189318932]",testing_score,TfidfVectorizer
197,50.0,0.879699067687,0.001,"(1, 1)","[0.889022195561, 0.874587458746, 0.875487548755]",testing_score,TfidfVectorizer
198,0.0,0.832298916754,0.01,"(1, 1)","[0.843131373725, 0.825082508251, 0.828682868287]",testing_score,TfidfVectorizer
199,0.1,0.832398866761,0.01,"(1, 1)","[0.843731253749, 0.825082508251, 0.828382838284]",testing_score,TfidfVectorizer
200,1.0,0.833298806785,0.01,"(1, 1)","[0.845230953809, 0.827182718272, 0.827482748275]",testing_score,TfidfVectorizer
201,5.0,0.8341988368,0.01,"(1, 1)","[0.845830833833, 0.82898289829, 0.827782778278]",testing_score,TfidfVectorizer
202,10.0,0.832598976754,0.01,"(1, 1)","[0.842831433713, 0.831083108311, 0.823882388239]",testing_score,TfidfVectorizer
203,50.0,0.83409891679,0.01,"(1, 1)","[0.844931013797, 0.832583258326, 0.824782478248]",testing_score,TfidfVectorizer
204,0.0,0.686099743748,0.1,"(1, 1)","[0.688662267546, 0.687368736874, 0.682268226823]",testing_score,TfidfVectorizer
205,0.1,0.686099743748,0.1,"(1, 1)","[0.688662267546, 0.687368736874, 0.682268226823]",testing_score,TfidfVectorizer
206,1.0,0.686199753749,0.1,"(1, 1)","[0.688662267546, 0.687368736874, 0.682568256826]",testing_score,TfidfVectorizer
207,5.0,0.686099743748,0.1,"(1, 1)","[0.688662267546, 0.687368736874, 0.682268226823]",testing_score,TfidfVectorizer
208,10.0,0.686099743748,0.1,"(1, 1)","[0.688662267546, 0.687668766877, 0.68196819682]",testing_score,TfidfVectorizer
209,50.0,0.686099713751,0.1,"(1, 1)","[0.688962207558, 0.688868886889, 0.680468046805]",testing_score,TfidfVectorizer
210,0.0,0.500300000006,1e-05,"(1, 2)","[0.500299940012, 0.500450045005, 0.500150015002]",testing_score,TfidfVectorizer
211,0.1,0.924799948501,1e-05,"(1, 2)","[0.925314937013, 0.927692769277, 0.921392139214]",testing_score,TfidfVectorizer
212,1.0,0.916900058332,1e-05,"(1, 2)","[0.916316736653, 0.919591959196, 0.914791479148]",testing_score,TfidfVectorizer
