,alpha,avg_score,min_df,ngram,scores,scoring_method,vectorizer
54,0.0,-3831.2396931,0.1,"(1, 2)","[-4040.75302268, -4022.747456, -3430.21860063]",log_likelihood,CountVectorizer
55,0.1,-3830.97896906,0.1,"(1, 2)","[-4040.49590358, -4022.4727907, -3429.96821289]",log_likelihood,CountVectorizer
56,1.0,-3828.6393556,0.1,"(1, 2)","[-4038.18918833, -4020.00862106, -3427.72025741]",log_likelihood,CountVectorizer
57,5.0,-3818.38990346,0.1,"(1, 2)","[-4028.09576061, -4009.22527396, -3417.8486758]",log_likelihood,CountVectorizer
58,10.0,-3805.91314414,0.1,"(1, 2)","[-4015.83625456, -3996.12526906, -3405.7779088]",log_likelihood,CountVectorizer
59,50.0,-3718.34193411,0.1,"(1, 2)","[-3930.84567655, -3905.13844404, -3319.04168174]",log_likelihood,CountVectorizer
60,0.0,-inf,1e-05,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,TfidfVectorizer
61,0.1,-1354.69467127,1e-05,"(1, 1)","[-1347.20340329, -1372.39292293, -1344.48768758]",log_likelihood,TfidfVectorizer
62,1.0,-1429.48913331,1e-05,"(1, 1)","[-1424.76337947, -1437.81784511, -1425.88617536]",log_likelihood,TfidfVectorizer
63,5.0,-1543.44537326,1e-05,"(1, 1)","[-1540.63158254, -1546.95756095, -1542.7469763]",log_likelihood,TfidfVectorizer
64,10.0,-1591.249501,1e-05,"(1, 1)","[-1589.35433388, -1593.45748742, -1590.93668169]",log_likelihood,TfidfVectorizer
65,50.0,-1667.53634876,1e-05,"(1, 1)","[-1667.10710111, -1668.02372311, -1667.47822206]",log_likelihood,TfidfVectorizer
66,0.0,-inf,0.0001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,TfidfVectorizer
67,0.1,-1354.69467127,0.0001,"(1, 1)","[-1347.20340329, -1372.39292293, -1344.48768758]",log_likelihood,TfidfVectorizer
68,1.0,-1429.48913331,0.0001,"(1, 1)","[-1424.76337947, -1437.81784511, -1425.88617536]",log_likelihood,TfidfVectorizer
69,5.0,-1543.44537326,0.0001,"(1, 1)","[-1540.63158254, -1546.95756095, -1542.7469763]",log_likelihood,TfidfVectorizer
70,10.0,-1591.249501,0.0001,"(1, 1)","[-1589.35433388, -1593.45748742, -1590.93668169]",log_likelihood,TfidfVectorizer
71,50.0,-1667.53634876,0.0001,"(1, 1)","[-1667.10710111, -1668.02372311, -1667.47822206]",log_likelihood,TfidfVectorizer
72,0.0,-inf,0.001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,TfidfVectorizer
73,0.1,-1364.14715058,0.001,"(1, 1)","[-1361.13391173, -1384.88744997, -1346.42009004]",log_likelihood,TfidfVectorizer
74,1.0,-1432.82562095,0.001,"(1, 1)","[-1429.22664295, -1442.44764946, -1426.80257042]",log_likelihood,TfidfVectorizer
75,5.0,-1541.43875961,0.001,"(1, 1)","[-1539.55955264, -1545.6679136, -1539.08881259]",log_likelihood,TfidfVectorizer
76,10.0,-1588.81494275,0.001,"(1, 1)","[-1587.69066705, -1591.37612937, -1587.37803183]",log_likelihood,TfidfVectorizer
77,50.0,-1665.74326562,0.001,"(1, 1)","[-1665.68591119, -1666.17928724, -1665.36459843]",log_likelihood,TfidfVectorizer
78,0.0,-1519.44607959,0.01,"(1, 1)","[-1523.65785114, -1523.66642669, -1511.01396095]",log_likelihood,TfidfVectorizer
79,0.1,-1521.47782518,0.01,"(1, 1)","[-1525.50345161, -1525.49889364, -1513.4311303]",log_likelihood,TfidfVectorizer
80,1.0,-1537.31351788,0.01,"(1, 1)","[-1540.61805123, -1540.17047929, -1531.15202313]",log_likelihood,TfidfVectorizer
81,5.0,-1579.41254067,0.01,"(1, 1)","[-1582.44250468, -1580.41362354, -1575.38149379]",log_likelihood,TfidfVectorizer
82,10.0,-1606.83296726,0.01,"(1, 1)","[-1609.72898133, -1606.9493777, -1603.82054274]",log_likelihood,TfidfVectorizer
83,50.0,-1666.76360041,0.01,"(1, 1)","[-1668.65310413, -1665.69739502, -1665.94030208]",log_likelihood,TfidfVectorizer
84,0.0,-1668.6609003,0.1,"(1, 1)","[-1676.78464106, -1669.91758327, -1659.28047658]",log_likelihood,TfidfVectorizer
85,0.1,-1668.73446865,0.1,"(1, 1)","[-1676.84311244, -1669.98740499, -1659.37288853]",log_likelihood,TfidfVectorizer
86,1.0,-1669.38076558,0.1,"(1, 1)","[-1677.35857707, -1670.60157553, -1660.18214415]",log_likelihood,TfidfVectorizer
87,5.0,-1671.95599209,0.1,"(1, 1)","[-1679.43911467, -1673.06050043, -1663.36836116]",log_likelihood,TfidfVectorizer
88,10.0,-1674.65053955,0.1,"(1, 1)","[-1681.64782645, -1675.64808535, -1666.65570686]",log_likelihood,TfidfVectorizer
89,50.0,-1686.86831941,0.1,"(1, 1)","[-1691.71564089, -1687.47210752, -1681.41720983]",log_likelihood,TfidfVectorizer
90,0.0,-inf,1e-05,"(1, 2)","[-inf, -inf, -inf]",log_likelihood,TfidfVectorizer
91,0.1,-1291.76869973,1e-05,"(1, 2)","[-1278.80734317, -1298.52353558, -1297.97522042]",log_likelihood,TfidfVectorizer
92,1.0,-1404.25019948,1e-05,"(1, 2)","[-1394.01747196, -1408.87895042, -1409.85417605]",log_likelihood,TfidfVectorizer
93,5.0,-1549.0586887,1e-05,"(1, 2)","[-1543.47027169, -1554.19516097, -1549.51063344]",log_likelihood,TfidfVectorizer
