date,pos_sum,pos_mean,net_pos,running_pos_avg,geom_pos_avg,sup_sum,sup_mean,net_sup,running_sup_avg,geom_sup_avg,obj_sum,obj_mean,net_obj,running_obj_avg,geom_obj_avg,polls
2012-03-03,6.95247767525,0.496605548232,-0.047522324751,0.560885410703,0.871831145262,5.5059901912,0.393285013657,-1.4940098088,0.402210108319,0.643760173724,12.2192986459,0.872807046138,5.21929864594,0.838309299192,1.39004542856,49.1
2012-03-04,4.49857078269,0.562321347836,0.498570782687,0.56452348934,0.915796156074,3.36015016752,0.420018770939,-0.639849832485,0.398674902698,0.671615377327,5.79510202942,0.724387753677,1.79510202942,0.819238025939,1.26086632762,49.1
2012-03-05,9.48604296536,0.592877685335,1.48604296536,0.565556848485,0.953182048828,6.33521754187,0.395951096367,-1.66478245813,0.407485622888,0.654509022449,14.1933905936,0.887086912097,6.19339059355,0.819362200417,1.39405515122,49.0
2012-03-06,15.1142329273,0.604569317093,2.61423292733,0.567963767216,0.974442654236,9.54218926871,0.381687570748,-2.95781073129,0.3920381963,0.637327688171,21.6500260327,0.866001041308,9.1500260327,0.820853306507,1.40114518627,49.4
2012-03-07,12.8026384456,0.609649449793,2.30263844565,0.573204669658,0.986519806705,7.95086204544,0.378612478354,-2.54913795456,0.393910986013,0.629770762594,17.6587910954,0.840894814067,7.15879109541,0.838235513458,1.38202947771,49.5
2012-03-08,10.4661905727,0.615658268983,1.9661905727,0.597015213808,0.99725748241,6.50515300808,0.382656059299,-1.99484699192,0.391785195142,0.631095620219,12.6342479341,0.743191054944,4.13424793406,0.812312315219,1.28161304286,49.4
2012-03-09,12.301036457,0.647422971422,2.80103645702,0.614035538525,1.03311870147,7.54606572012,0.397161353691,-1.95393427988,0.387213711692,0.645217629719,16.0888120354,0.846779580809,6.58881203538,0.836790680645,1.36027209281,49.2
2012-03-10,6.2501366216,0.694459624622,1.7501366216,0.634351926383,1.09039842742,4.01126971355,0.445696634839,-0.488730286446,0.397162819386,0.696993967803,8.16592668657,0.907325187397,3.66592668657,0.840838335705,1.43586652375,48.8
2012-03-11,6.66751372669,0.666751372669,1.66751372669,0.646788337498,1.0794708794,3.69789238966,0.369789238966,-1.30210761034,0.39478315303,0.63453687756,8.37944614425,0.837944614425,3.37944614425,0.835227050329,1.38717172344,48.0
2012-03-12,11.6452261222,0.646957006791,2.64522612224,0.654249848897,1.06100752602,8.02266001891,0.445703334384,-0.977339981086,0.408201324236,0.697552123932,16.2826498439,0.904591657995,7.2826498439,0.847966419114,1.44594541658,47.8
2012-03-13,9.58523773708,0.639015849139,2.08523773708,0.658921364929,1.05002240779,5.57655156838,0.371770104558,-1.92344843162,0.406024133288,0.637608693992,12.9083203786,0.860554691907,5.40832037861,0.871439146507,1.41625178165,47.3
2012-03-14,14.2678752704,0.620342403062,2.76787527043,0.653505251257,1.02878902133,10.6317432227,0.462249705333,-0.868256777349,0.419041803616,0.715509655525,19.1892661123,0.834315917927,7.68926611232,0.86894641393,1.38554261738,47.9
2012-03-15,14.9908857535,0.599635430142,2.49088575355,0.634540412361,1.00260833432,11.8573038908,0.474292155632,-0.64269610919,0.424760907775,0.745206786368,20.3947783109,0.815791132435,7.89477831089,0.850639602938,1.35937418506,48.0
2012-03-16,10.420798137,0.578933229835,1.42079813702,0.616976783794,0.974430550409,6.41068926433,0.356149403574,-2.58931073567,0.422032940696,0.637569485519,14.4535755007,0.802976416705,5.45357550069,0.843645963394,1.33878194051,48.1
2012-03-17,8.32680698941,0.693900582451,2.32680698941,0.626365498926,1.08075911,4.36845325425,0.364037771187,-1.63154674575,0.405699828057,0.621387245362,10.3981767179,0.86651472649,4.39817671788,0.836030577093,1.39546129533,48.5
2012-03-18,4.79812078505,0.599765098131,0.798120785051,0.618515348724,1.01112433005,3.06553119581,0.383191399476,-0.934468804194,0.40798408704,0.632755550911,6.82661923801,0.853327404752,2.82661923801,0.834585119662,1.39466516136,48.4
2012-03-19,4.50667381503,0.500741535004,0.006673815032,0.594595175112,0.898839227862,4.31127359154,0.47903039906,-0.188726408457,0.411340225786,0.729168950128,7.78847172471,0.86538574719,3.28847172471,0.840799085514,1.40838332892,48.1
2012-03-20,10.2916575614,0.643228597585,2.29165756136,0.603313808601,1.01166383693,6.02391426182,0.376494641364,-1.97608573818,0.391780722932,0.650154386138,12.4639485089,0.778996781809,4.46394850894,0.833440215389,1.32612383617,48.1
2012-03-21,12.9489177284,0.517956709136,0.44891772841,0.591118504461,0.908589206602,9.19637980768,0.367855192307,-3.30362019232,0.394121880679,0.626027973766,17.8004828818,0.712019315273,5.30048288183,0.815248795103,1.23962753944,48.3
2012-03-22,12.8796070195,0.643980350975,2.87960701951,0.581134458166,1.01153629191,7.61954873216,0.380977436608,-2.38045126784,0.397509813763,0.631159454073,17.8263996329,0.891319981644,7.82639963288,0.820209846134,1.39385618976,48.7
