date,fav_sum,fav_mean,net_probability_positive,polls,running_pos_avg,geom_avg
2011-09-16,1.41393153134,0.706965765668,0.413931531335,45.1,0.614161172762,1.06859124112
2011-09-18,0.515890846717,0.515890846717,0.015890846717,45.1,0.594360918136,0.918778787373
2011-09-19,2.32765963251,0.775886544169,0.827659632506,45.3,0.61325638232,1.14734489693
2011-09-20,1.24359179818,0.62179589909,0.24359179818,45.0,0.619515575072,1.04549761234
2011-09-22,4.19073262897,0.598676089852,0.690732628966,44.2,0.643843029099,1.00591918754
2011-09-23,3.26576810156,0.653153620312,0.765768101561,44.2,0.633080600028,1.04950799914
2011-09-24,1.27820495746,0.639102478732,0.278204957465,44.2,0.657722926431,1.04439213768
2011-09-25,4.58765172255,0.764608620425,1.58765172255,44.2,0.655467341682,1.16996275515
2011-09-26,2.93725993607,0.587451987215,0.437259936075,44.7,0.648598559307,1.02454466799
2011-09-27,1.43955354529,0.719776772645,0.439553545289,44.7,0.672818695866,1.12686205229
2011-09-28,0.674537099751,0.674537099751,0.174537099751,44.4,0.677095391754,1.10314804737
2011-09-29,0.702374333626,0.702374333626,0.202374333626,44.4,0.689749762732,1.12856484876
2011-09-30,1.46847576434,0.734237882172,0.468475764345,44.8,0.683675615082,1.16723374236
2011-10-02,1.00983713717,0.504918568585,0.009837137169,44.8,0.667168931356,0.949252739222
2011-10-03,0.474754961721,0.474754961721,-0.025245038279,45.0,0.618164569171,0.867401817769
2011-10-04,0.517001337058,0.517001337058,0.017001337058,45.8,0.586657416632,0.880089643481
2011-10-05,3.76321300289,0.627202167149,0.763213002894,45.9,0.571622983337,0.985545110867
2011-10-07,2.24275602714,0.747585342382,0.742756027145,46.1,0.574292475379,1.12886464611
2011-10-08,0.982488979152,0.491244489576,-0.017511020848,46.1,0.571557659577,0.911279456819
2011-10-09,4.62737867348,0.661054096212,1.12737867348,46.1,0.608817486475,1.03451965608
2011-10-11,5.17801965028,0.739717092897,1.67801965028,45.9,0.653360637643,1.13694615657
2011-10-12,5.8316975591,0.728962194887,1.8316975591,45.3,0.673712643191,1.1548824842
2011-10-13,3.11142703447,0.622285406894,0.611427034469,45.1,0.648652656093,1.05883707928
2011-10-14,0.439704727449,0.439704727449,-0.060295272551,45.1,0.638344703668,0.856030456103
2011-10-15,2.59353395464,0.64838348866,0.593533954642,45.1,0.635810582157,1.01147068732
2011-10-16,3.60056527472,0.600094212453,0.600565274717,45.1,0.607886006069,0.991404599974
2011-10-17,0.77893387902,0.77893387902,0.27893387902,45.1,0.617880342895,1.16790996506
2011-10-18,4.99968831873,0.71424118839,1.49968831873,45.2,0.636271499194,1.14705382462
2011-10-19,4.32982673231,0.618546676044,0.829826732309,45.2,0.672039888913,1.05449771023
2011-10-20,5.2507416645,0.5834157405,0.750741664502,44.2,0.659046339281,0.999008574956
2011-10-21,3.74227665948,0.62371277658,0.74227665948,44.2,0.663770052107,1.02266163203
2011-10-22,0.850629333406,0.850629333406,0.350629333406,44.2,0.678109142984,1.25187104302
2011-10-23,2.55405657615,0.638514144037,0.55405657615,44.2,0.662963734114,1.09656177862
2011-10-24,3.40130175066,0.680260350132,0.901301750661,44.2,0.675306468931,1.11022840699
2011-10-25,0.91716284397,0.458581421985,-0.08283715603,44.2,0.650339605228,0.889316612182
2011-10-26,5.19589966034,0.742271380048,1.69589966034,44.5,0.674051325922,1.11780200999
2011-10-27,3.95727583171,0.565325118816,0.457275831713,44.5,0.616990483004,0.987377990216
2011-10-28,2.26519764095,0.755065880318,0.765197640955,44.5,0.64030083026,1.15079928538
2011-10-29,0.627563585197,0.627563585197,0.127563585197,44.5,0.629761477273,1.06018492843
2011-10-30,2.25766417296,0.564416043239,0.257664172956,44.5,0.650928401524,0.98061236219
2011-10-31,2.17958417608,0.726528058692,0.679584176077,44.5,0.647779737253,1.12112837748
2011-11-02,0.67662724644,0.67662724644,0.17662724644,44.1,0.670040162777,1.10197346675
2011-11-03,1.48693982907,0.743469914533,0.486939829066,43.7,0.66772096962,1.16884769471
2011-11-04,0.867346771989,0.867346771989,0.367346771989,44.1,0.715677606979,1.31051822274
2011-11-05,2.16071327174,0.540178317935,0.160713271739,44.1,0.710830061918,1.02269645691
2011-11-06,2.28559996918,0.761866656394,0.785599969183,44.4,0.717897781458,1.1812820678
2011-11-07,1.25031389691,0.625156948453,0.250313896905,44.3,0.707603721861,1.07464543775
2011-11-08,2.21599263698,0.553998159244,0.215992636976,44.3,0.669709370803,0.980774138929
2011-11-09,1.67706630622,0.559022102072,0.177066306215,44.3,0.608044436819,0.958774903575
2011-11-10,2.73852821149,0.684632052873,0.738528211493,44.3,0.636935183807,1.0728599735
2011-11-12,2.3023126849,0.575578171226,0.302312684903,44.4,0.599677486773,0.988361737761
2011-11-13,1.56961569529,0.784807847646,0.569615695292,44.2,0.631607666612,1.17979550452
2011-11-16,0.702669449717,0.702669449717,0.202669449717,44.6,0.661341924707,1.14254892759
2011-11-17,2.03944232227,0.679814107424,0.539442322272,44.8,0.685500325777,1.11829605551
2011-11-18,2.73266136571,0.546532273142,0.232661365712,44.8,0.657880369831,0.980606087172
2011-11-19,1.8117617183,0.603920572767,0.311761718301,44.8,0.663548850139,1.00351156651
2011-11-20,1.93074949325,0.643583164415,0.430749493246,44.8,0.635303913493,1.04242713542
2011-11-21,3.72151718995,0.744303437991,1.22151718996,44.8,0.643630711148,1.15111249639
2011-11-22,0.99188037947,0.495940189735,-0.00811962053,44.7,0.60685592761,0.930695493929
2011-11-23,4.15840723305,0.693067872174,1.15840723305,44.4,0.636163047417,1.07813189603
2011-11-24,2.08331101089,0.520827752722,0.083311010888,44.4,0.619544483408,0.93447553093
2011-11-25,1.8944174807,0.631472493567,0.394417480702,44.4,0.617122349238,1.01279741825
2011-11-26,0.406447994001,0.406447994001,-0.093552005999,44.3,0.54955126044,0.801669914769
2011-11-28,0.771161291422,0.385580645711,-0.228838708578,44.4,0.527479351635,0.729232105396
2011-11-29,3.08817646198,0.617635292397,0.588176461983,44.4,0.51239283568,0.93314631981
2011-11-30,5.6270756578,0.625230628645,1.1270756578,44.4,0.533273410864,0.983447084267
2011-12-01,3.02643405673,0.504405676121,0.026434056728,44.4,0.507860047375,0.880610887319
2011-12-02,3.49257503147,0.698515006293,0.992575031466,44.7,0.566273449833,1.05314733903
2011-12-03,2.99536547082,0.599073094165,0.495365470825,44.7,0.608971939524,0.993629266383
2011-12-04,3.48634739767,0.697269479534,0.986347397672,44.7,0.624898776952,1.08394538191
2011-12-05,2.95580746997,0.738951867492,0.955807469967,44.7,0.647643024721,1.1483751966
2011-12-06,2.08644481512,0.695481605041,0.586444815123,44.7,0.685858210505,1.12577569753
2011-12-07,5.02998782113,0.628748477641,1.02998782113,44.7,0.671904904775,1.05885912285
2011-12-08,1.87615179078,0.625383930261,0.376151790782,44.4,0.677167071994,1.0405419034
2011-12-09,4.29007966734,0.612868523906,0.790079667343,44.4,0.660286880868,1.02150492055
2011-12-10,3.76975302631,0.628292171051,0.769753026305,44.4,0.63815494158,1.03073515691
2011-12-11,2.77419011691,0.693547529227,0.774190116909,44.4,0.637768126417,1.09680279579
2011-12-12,2.84497341839,0.711243354598,0.844973418392,45.1,0.654267101809,1.13077144246
2011-12-13,5.699976828,0.5699976828,0.699976828002,45.1,0.643189852316,1.00105572397
2011-12-14,1.96474789357,0.654915964524,0.464747893572,44.8,0.65159934044,1.05657902274
2011-12-15,2.80420013746,0.560840027493,0.304200137464,44.8,0.638108911728,0.971658844437
2011-12-16,6.38825751261,0.638825751261,1.38825751261,44.6,0.627164556135,1.02918564979
2011-12-17,2.42593209306,0.606483023266,0.425932093062,44.6,0.606212489869,1.00732081724
2011-12-18,4.27400195621,0.61057170803,0.774001956211,44.6,0.614327294915,1.00693227202
2011-12-19,4.30053628456,0.614362326366,0.800536284563,44.6,0.606216567283,1.00980127992
2011-12-20,4.06326725615,0.81265345123,1.56326725615,44.8,0.656579252031,1.20836471538
2011-12-21,3.94856908309,0.789713816619,1.44856908309,44.8,0.686756865102,1.23492087734
2011-12-22,3.60035150363,0.600058583939,0.600351503632,44.6,0.685471977237,1.06142059355
2011-12-23,4.61305869033,0.576632336291,0.613058690331,44.6,0.678684102889,1.00027957109
2011-12-24,0.739911144426,0.739911144426,0.239911144426,44.6,0.703793866501,1.1429946959
2011-12-25,2.61815181005,0.654537952512,0.618151810049,44.6,0.672170766757,1.08845928862
2011-12-27,1.1287186683,0.564359334149,0.128718668299,44.6,0.627099870264,0.989338069312
2011-12-28,3.16724186856,0.633448373712,0.667241868561,44.6,0.633777828218,1.03293945448
2011-12-29,4.75496558851,0.679280798358,1.25496558851,45.0,0.654307520632,1.08471284003
2011-12-30,9.05799358679,0.696768737445,2.55799358679,45.0,0.645679039236,1.11501299921
2011-12-31,0.562282072833,0.562282072833,0.062282072833,45.0,0.6272278633,0.990307751903
2012-01-01,6.09002858499,0.676669842777,1.59002858499,45.0,0.649689965025,1.07590126261
2012-01-02,6.37361379579,0.637361379579,1.37361379579,45.0,0.650472566199,1.05310275837
2012-01-03,11.2640674066,0.704004212909,3.26406740655,45.0,0.655417249109,1.11610249562
2012-01-04,34.0044227864,0.607221835471,6.0044227864,45.0,0.637507868714,1.03471189698
2012-01-05,20.0882141849,0.648006909191,4.58821418493,44.7,0.654652835986,1.05807847738
2012-01-06,13.8640424132,0.660192495868,3.36404241322,44.7,0.651357366604,1.07349831433
2012-01-07,9.25122331357,0.660801665255,2.25122331357,44.7,0.656045423739,1.07805493337
2012-01-08,16.4762280994,0.686509504141,4.47622809939,44.7,0.652546481985,1.10562286987
2012-01-09,16.7024109682,0.642400421854,3.70241096822,44.9,0.659582199262,1.06894363187
2012-01-10,17.593025981,0.628322356464,3.593025981,45.2,0.655645288717,1.04732063723
2012-01-11,37.876591162,0.641976121389,8.37659116198,45.1,0.652002013821,1.0545895507
2012-01-12,21.5813364077,0.653979891144,5.08133640774,45.1,0.650637658999,1.06702776096
2012-01-13,11.9160321915,0.627159589027,2.41603219151,45.2,0.638767675976,1.04303608496
2012-01-14,5.05259558687,0.561399509653,0.552595586874,45.2,0.622567493535,0.971685928522
2012-01-15,6.1395380936,0.511628174467,0.139538093603,45.5,0.599228657136,0.903058338739
2012-01-16,17.219768273,0.66229877973,4.21976827298,45.0,0.603293188804,1.03263506683
2012-01-17,23.6924121502,0.676926061435,6.19241215024,45.3,0.607882422862,1.07443413892
2012-01-18,12.112158855,0.60560794275,2.11215885499,45.0,0.603572093607,1.01718142212
2012-01-19,17.0080903606,0.629929272615,3.50809036062,45.0,0.617278046199,1.03046575441
2012-01-20,20.364847092,0.70223610662,5.86484709198,45.0,0.65539963263,1.10481670913
2012-01-21,9.91678500172,0.708341785837,2.91678500172,45.0,0.664608233851,1.1297140946
2012-01-22,15.4826053752,0.645108557301,3.48260537522,45.0,0.658244733024,1.0763944295
2012-01-23,9.48100759197,0.632067172798,1.98100759197,45.2,0.663536579034,1.05294670949
2012-01-24,20.2082798764,0.651879996014,4.70827987642,45.2,0.667926723714,1.0658755491
2012-01-25,13.7587607133,0.529183104358,0.758760713302,45.2,0.633316123261,0.945068052785
2012-01-26,12.0239980613,0.667999892293,3.02399806127,45.0,0.625247744553,1.05377026075
2012-01-27,20.1317880909,0.718992431817,6.13178809089,44.9,0.640024519456,1.12608832035
2012-01-28,12.7862130733,0.672958582806,3.28621307332,44.9,0.648202801458,1.10071392885
2012-01-29,5.66010530094,0.566010530094,0.660105300943,45.0,0.631028908274,0.991805912651
2012-01-30,14.7192902427,0.700918582985,4.21929024269,45.1,0.665376003999,1.10028632724
2012-01-31,21.3090618346,0.66590818233,5.30906183457,45.2,0.664957662007,1.0877135421
2012-02-01,29.7010596449,0.675024082839,7.7010596449,45.3,0.656163992211,1.09694270618
2012-02-02,8.49827110575,0.472126172542,-0.50172889425,45.5,0.615997510158,0.897065562563
2012-02-03,15.3753323485,0.668492710806,3.87533234854,45.5,0.6364939463,1.04435770507
2012-02-04,9.63188602008,0.642125734672,2.13188602008,45.4,0.624735376638,1.04560730487
2012-02-05,10.954115594,0.644359740824,2.45411559401,45.1,0.620425688336,1.05114427867
2012-02-06,6.81259799391,0.681259799391,1.81259799391,44.5,0.621672831647,1.09039807138
2012-02-07,7.41550685715,0.617958904762,1.41550685715,44.1,0.650839378091,1.03758448081
2012-02-08,14.6253138959,0.585012555834,2.12531389586,44.3,0.634143347097,0.993668560307
2012-02-09,11.7221181914,0.61695358902,2.22211819138,44.1,0.629108917966,1.01313407017
2012-02-10,11.6680536148,0.614108084992,2.16805361485,43.6,0.6230585868,1.01246715716
2012-02-11,6.71633376749,0.671633376749,1.71633376749,43.9,0.621133302272,1.06950367758
2012-02-12,5.99281214089,0.665868015655,1.49281214089,43.8,0.63071512445,1.07765523606
2012-02-13,3.281413329,0.6562826658,0.781413329002,43.9,0.644969146443,1.0726268829
2012-02-14,1.94490126402,0.648300421339,0.444901264018,43.1,0.651238512907,1.06487902126
2012-02-15,8.35318230908,0.696098525757,2.35318230908,43.0,0.66763660106,1.11129041098
2012-02-16,12.0162580675,0.706838709852,3.51625806748,43.4,0.674677667681,1.13363996992
2012-02-17,10.9764603354,0.609803351966,1.97646033539,43.3,0.663464734943,1.04454634396
2012-02-18,5.36136541642,0.670170677053,1.36136541642,43.2,0.666242337193,1.08487376194
2012-02-19,5.79103031587,0.579103031587,0.791030315869,43.4,0.652402859243,1.00076745467
2012-02-20,7.69314419507,0.769314419507,2.69314419507,43.3,0.667046037993,1.17068710855
2012-02-21,11.0382124802,0.68988828001,3.03821248016,43.4,0.663655952024,1.12993400741
2012-02-22,5.72009646841,0.635566274268,1.22009646841,43.4,0.668808536485,1.07195234425
