,author,date,section,word_count,abstract,headline,source
35,"Hrin, Eric","May 06, 2011",News,744,"According to Shinagawa, it was an ""interesting day to be in the White House"" just days after bin Laden's death.",Nathan Shinagawa Meets The President,The Daily Review
36,"Wilding, Patrice","Dec 27, 2011",News,1020,"""There's an old hymn, 'Rescue the Perishing,' and my father used to say it was my theme song. I guess he was right,"" Mrs. McConlogue said. ""I refuse to pay money for an animal that isn't being rescued or in need of a home.""","Scranton Woman Shepherds Student Singers, Church Chorale And Home Full Of Rescue Animals",The Times - Tribune
37,"Wellock, Bill","Jan 10, 2012",News,475,"""In a nation filled with overly large people, which we are, liposuction seems reasonable. I've seen plenty of nose jobs in my day, so that seemed reasonable,"" he said. ""I couldn't say with any confidence one way or other. Nothing really grabbed me. The risk-reward didn't make any sense to make. So, I decided to take the money and run.""","'Millionaire' Contestant Brings Home $11,550, Disney Cruise",Citizens' Voice
38,,"Sep 24, 2012",Opinion,1028,"Furthermore I'll never understand how these events are allowed to take place and how anyone with any sense of compassion and ethics can spend their hard-earned money patronizing this evil ""sport.""A It's no different than pit bull dog fights. Animal abuse is animal abuse no matter how much it's sugar-coated.",Letters To The Editor - 9/24/2012,The Times - Tribune
39,,"Mar 3, 2012",Opinion,1136,"U.S. EPA Administrator Lisa Jackson said recently that fracturing is ""perfectly capable of being clean"" for the environment. And due to tight state oversight, the ""regulation of fracking doesn't necessarily need to be federal,"" Ms. Jackson noted.",Letters To The Editor 3/4/2012,The Times - Tribune
40,News-Item Staff,"Sep 8, 2011",News,961,"""We have implemented our emergency protocols to ensure we meet the immediate medical needs of our community. The safety of our employees and patients are of the utmost concern,"" said Tom Sokola, chief administrative officer, said in a statement Thursday. ""We are grateful to those employees going above and beyond to ensure that we do not compromise the level of care we are delivering to our patients.""",Thursday Night Updates On Flood,The News - Item
41,"Sisak, Michael R","Oct 19, 2012",News,747,"""No act on first passage is perfect,"" Stilp said. ""We've had Medicare, Social Security, we've had the Voting Rights Act, the G.I. Bill. All of these bills, after being passed, required the Congress to go back in, take another look at it and see how it could be strengthened.""",Stilp Promises To Work With Fellow Lawmakers,Citizens' Voice
42,"Krawczeniuk, Borys","Feb 1, 2012",News,921,"In Mitchell's and other political observers' eyes, the best hope for a competitive local congressional race might be Moosic attorney Matt Cartwright's challenge of Holden in the Democratic primary. A successful lawyer, Cartwright has said he can provide an infusion of his cash.","Redistricting, Lack Of Cash Conspire Against Congressional Hopefuls",Citizens' Voice
43,,"Aug 8, 2012",Opinion,529,"I happen to like Greg Maresca's columns. If this person doesn't like what he writes about, just don't read it. It is as simple as that. Keep up the good work, Greg.","Sound Off: Wednesday August 8, 2012",The News - Item
44,"KRAWCZENIUK, BORYS","Aug 6, 2011",News,362,"- End federal funding for National Public Radio, whose ""Morning Edition,"" ""All Things Considered"" and other programs air on stations such as WVIA-FM, the local public broadcasting affiliate.","Day One: After Six Months, Marino And Barletta Stick Close To Party",The Times - Tribune
45,Anonymous,"Jun 24, 2011",Opinion,324,"There is no doubt that the mission in Afghanistan also is about neighboring Pakistan. That was demonstrated in the brilliant mission to find and kill Osama bin Laden in Pakistan, which was launched from Afghanistan. And it's even more important as a politically fragile but nuclear-armed Pakistan wards off radical insurgents. The United States has a major interest in ensuring that terrorists don't go nuclear - an interest it protects from Afghanistan.",Square One In Afghanistan,The Times - Tribune
46,,"Aug 3, 2012",News,179,"Republican primary voters in the 11th District elected three delegates to the convention. [John R. Gordner] finished a close fourth. The 11th Congressional District encompasses nine counties, including Columbia, Montour, Luzerne and part of Northumberland.",Gordner To Be Delegate At Republican National Convention,The News - Item
47,Anonymous,"Jul 09, 2011",Opinion,488,"[Casey Anthony] found not guilty of any charges? Poor little [Caylee], and may God bless that little angel. The mom is going to go out partying and dancing now. Frog's take: She might want to lay low for awhile, a long while.",Sound Off 07-10-11,The News - Item
48,"KRAWCZENIUK, BORYS","Aug 30, 2011",News,418,"""I wished him well; I told him I've been following him from afar,"" [Lynette Villano] said. ""At this point everybody has a chance.""",Presidential Hopeful Santorum Stumps In Region,Standard - Speaker
49,,"Mar 15, 2012",Opinion,612,"Have you read the 12th chapter of Genesis, verse 3 ""God told Abram (he wasn't Abraham yet) I will bless those who bless you and curse those who curse you?""",Think Before You Vote,Standard - Speaker
50,"KRAWCZENIUK, BORYS","Jul 22, 2011",News,599,"Lou Barletta, R-11, Hazleton, and Tom Marino, R-10, Lycoming Twp., all favor Republican plans to cut spending next year by a set amount and cap future spending and an amendment requiring a balanced federal budget before raising the debt limit.",GOP Reps Blast Obama On Debt Limit,The Daily Review
51,,"Oct 7, 2012",Opinion,759,"Obama nixed NASA's manned mission to Mars, saying the U.S. can't always be the leader as we surrender space to China and Russia. Moreover, NASA Administrator Charles Bolden says the ""foremost mission of NASA is now Muslim outreach."" Like Casey said, ""You can look it up.""","NOP(e), Not Again",The News - Item
52,,"Oct 16, 2012",Opinion,358,"Hey, Shenandoah, you should know by now the laws don't apply in that town from the police to the borough to the school district. They all do what they want and get away with it. It's like the Wild West up there in Shenandoah.","Thunder/Enlightning, Oct. 16, 2012",Republican & Herald
53,"Krawczeniuk, Borys","Jan 25, 2012",News,576,"""This state looks like it's going to be close, even though he has a big lead right now, that's the nature of what's going on"" with the Republican presidential candidates regularly ""chewing each other up,"" Madonna said.",New Poll Produces Mixed Results For Obama,Citizens' Voice
54,,"Feb 12, 2012",Opinion,472,"Regarding the flap over conservative opposition to the proposed legislation to use tax money for abortion and contraceptions: It should be noted that while many Catholics do oppose abortion, the assertion that all Catholics similarly oppose contraception is untrue. In fact, most Catholics practice contraception routinely and see no reason to regard it as a sin. It is a gross generalization to say otherwise. It is rather the hierarchy of the church who are creating this opposition and are urging their flocks to do the same. Not to practice contraception, in fact, often leads to abortion in many cases.",Sound Off 648-2340,The News - Item
55,,"Sep 26, 2012",Opinion,462,This is done in the most hideous violent and evil process conceived by mankind. A child is forcefully removed from its mother's womb while still alive and is stabbed in the back of the head and then its brain is suctioned out. If it survives the ordeal - it is discarded into a waste can to die. It's called an act of murder.,"Vote Your Conscience, Not Your Party",Standard - Speaker
56,"Singleton, David","Nov 2, 2011",News,1202,"President Barack Obama praised Mrs. Rodham as a ""remarkable person"" who also was ""strong, determined and gifted.""","Dorothy Rodham Remembered As Dedicated Mother, Grandmother, With Fondness For City",The Times - Tribune
57,"Krawczeniuk, Borys","Sep 8, 2012",News,769,"""How arrogant is that and how out of touch is that where you still vote a?[broken bar] for a bill that would take away funding and lead to hundreds of layoffs? How do you do that? How do you vote against the interests of your own constituents?"" Scollo said. ""I don't get it at the end of the day. Whether or not, it will be corrected a?[broken bar] he voted the way he voted against the interests of his constituents.""",Scollo Again Rips Marino On Tobyhanna Cuts,Citizens' Voice
58,"KRAWCZENIUK, BORYS","Apr 14, 2012",News,1318,"""When the economy is moving better, more revenue is generated,"" [Matt Cartwright] said. ""We learned that in the ""I think Medicare and Social Security are the last things we need to look at to trim our budget and to tighten our belt. I think one logical place and one inevitable place for us to be able to trim the budget is moderate cuts in military spending. We're entering an era where we're not at war.""",Candidates Vague On Addressing Federal Deficit,Standard - Speaker
59,"Gaydos, Kristen","Aug 9, 2012",Arts-Living,595,"""I like food that's new and different,"" Len Krappa said. ""I'll eat anything. I'll eat it and then I'll ask what it was. What we try to do is make comfort food a little different.""","Avenue Diner: Retro Decor, Modern Menu",Citizens' Voice
60,,"Feb 13, 2012",Opinion,948,"The church teaches that the use of artificial contraceptives constitutes matter for grave sin. So, by Mr. Tagle's logic, the widespread commission of grave sin by Catholics should prompt the hierarchs to ""back off"" and say that sin is OK, after all. Try taking that one to what is referred to in the Byzantine Divine Liturgy as the ""dread judgment seat of Christ.""",Letters To The Editor - 2/14/2012,The Times - Tribune
61,"KRAWCZENIUK, BORYS","Oct 26, 2012",News,1290,"""We just barely opened the door on that the last couple of years,"" Casey said. ""I guess I don't equate a series of good steps with a radical approach over here (in Smith's corner). I don't think they're equivalents.""","Smith, Casey Differ Sharply On Social Security, Medicare",Republican & Herald
62,,"Oct 27, 2012",News,677,"""I worked out in the mornings with my colleagues on both sides of the aisle, and in the exercise room and the weight room, we talk about everything but politics, believe it or not,"" he said. ""It's a very cordial family group. a?[broken bar] But then as soon as we get on the floor or we get into hearings or we get into meetings, the vitriol is nauseating. a?[broken bar] It just seems to turn from a Dr. Jekyll to a Mr. Hyde. And I don't know if it's because of the cameras, because of the audience. I don't know if it's trying to make one side feel more important, but the lack of respect is unbelievable.""",Marino Says He's Willing To Deal On Debt And Taxes,Citizens' Voice
